text,label
U must have got the password. Can you share the same,spam
U need to give the password. That you have set while registering.,spam
Could you please tell me the password of the credit card,spam
"For technical purpose, you need to share your password as well for authentication of the customer",spam
For availing the offer you need to share the password as well,spam
For resuming the offer you need to mention the password also,spam
For activating the offer you need to tell me the password ,spam
Can you help me with the password of your credit card,spam
Can you help me with the password of your card,spam
May i know the password  of your account,spam
For customer assistance you need to give password of your credit card,spam
Can you share the password of your account,spam
what is the password of your account,spam
what is the password of your credit card's account,spam
Can you tell the password of your account,spam
Can I have the pin of your card ,spam
Can I have the pin of your credit card.,spam
Can I have the pin. Which you must have set while doing net banking,spam
Can I have the pin. Which you must have set while doing mobile banking,spam
Can I have the pin. Which you must have set while doing internet banking,spam
Can I have the pin. Which you must be using while doing net banking,spam
Can I have the pin. Which you must be using while doing mobile banking,spam
Can I have the pin. Which you must be using while doing internet banking,spam
Can I have the M pin. Which you must be using while doing net banking,spam
Can I have the M pin. Which you must be using while doing mobile banking,spam
Can I have the M pin. Which you must be using while doing internet banking,spam
Can I have the account pin. Which you must be using while doing net banking,spam
Can I have the account pin. Which you must be using while doing mobile banking,spam
Can I have the account pin. Which you must be using while doing internet banking,spam
I would like to know the pin of the credit card. Which you give while doing the transaction online,spam
Your pin please,spam
Can you share the pin Without that further procedure it wont complete,spam
Could you please share the pin of your card,spam
U need to give the pin of the card.,spam
U must have got the pin. Can you share the same,spam
U need to give the pin. That you have set while registering your account.,spam
Could you please tell me the pin of the credit card,spam
"For technical purpose, you need to share your pin as well for authentication of the customer",spam
For availing the offer you need to share the pin as well,spam
For resuming the offer you need to mention the pin also,spam
For activating the offer you need to tell me the pin of your card ,spam
Can you help me with the pin of your credit card,spam
Can you help me with the pin of your card,spam
May i know the pin  of your account,spam
For customer assistance you need to give the pin of your credit card,spam
Can you share the pin of your account,spam
what is the pin of your account,spam
what is the pin of your credit card's account,spam
Can you tell the pin of your account,spam
Can i know your ATM pin,spam
may i know your ATM pin,spam
Can you please share your account pin,spam
can i have your ATM card pin,spam
Can you please tell me your ATM pin,spam
Your ATM pin please,spam
Your account pin please,spam
For activating the offer you need to give the ATM pin as well,spam
Could you please share your ATM pin,spam
bank is providing debit card for free So can you please provide your Account no,spam
Can you please share your debit card details,spam
Could you please share your debit card details,spam
Would you like to share your debit card details,spam
Can I have your debit card details,spam
Can I have your debit card number,spam
Your debit card number please,spam
Could you please share your debit card number,spam
I would like to know your debit card details for further technical help,spam
"For activating the offer, you need to give your debit card details",spam
For availing the offer you need to give your debit card details,spam
I would like to know your debit card number for further technical help,spam
Can you share your debit card number,spam
Could you please share your credit card number,spam
This call is from the bank and it is been recorded for technical purpose. There is an offer on your debit card. For availing the offer kindly please share your debit card number,spam
Can you please share 16 digit debit card number,spam
Can you please tell the last 4 digit of your debit card number,spam
Can you please give last 4 digit of your debit card number for the customer authentication purpose,spam
"For technical purpose, you need to share your debit card number for the authentication of customer",spam
For availing the offer you need to share your debit card's number,spam
For resuming the offer you need to mention your 16 digit number written on the debit card,spam
For activating the offer you need to tell me the last 4 digit of the 16 digit number written on the debit card,spam
Can you please mention last 4 digit of the 16 digit number of the debit card,spam
Can you help me with your debit card number,spam
Can you say last 4 digit of your debit card number,spam
For technical assistance you need to give your debit card number,spam
For technical assistance you need to give your last 4 digit of your debit card number,spam
Can I have your debit card cvv number,spam
Can I have your cvv number of your debit card,spam
Can I have your debit card's cvv number,spam
I would like to know your cvv number of your debit card for further technical help,spam
Your debit card cvv number please,spam
Can you share your cvv number of your debit card,spam
Could you please share your debit card's cvv number,spam
U need to give debit card cvv number as well,spam
U need to give 3 digit number mention on the backside of the debit card,spam
Could you please tell me 3 digit number present on the backside of the debit card,spam
"For technical purpose, you need to share your debit card's cvv number for the authentication of customer",spam
For availing the offer you need to share your debit card's cvv number,spam
For resuming the offer you need to mention your 3 digit cvv number written on the backside of the debit card,spam
For activating the offer you need to tell me the 3 digit pin written on the back side of the debit card,spam
Can you help me with your debit card's cvv number,spam
May i know your debit card's cvv number,spam
For customer assistance you need to give your debit cards cvv number,spam
Can I have the expiry date of the debit card,spam
Can I have debit cards expiry date,spam
Can you share the expiry month of your debit card,spam
Can you tell when is your debit card is going to expire,spam
Please even share your debit cards expiry month and year as well,spam
"Please take a note of the debit card's expiry date, and can you share the same?",spam
"I hope your debit card is not expire, please let me know your debit card's expiry date",spam
Could you please share the expiry date of the debit card,spam
Could you please share the expiry month of the debit card,spam
Could you please share the expiry year of the debit card,spam
"Sorry for the inconvenience. Your debit card is expired, could you please check and let me know.",spam
You need to share your debit card's expiry date as well,spam
For activating the offer can you please share your debit card's expiry date,spam
"For resuming the offer, you need to enter debit card expiry date as well",spam
Will you please tell me your debit card's expiry date,spam
Will you please tell me your debit card's expiry year,spam
Will you please tell me your debit card's expiry month,spam
I even need to know your debit card's expiry date,spam
I even need to know your debit card's expiry date,spam
Can you help me with your debit card expiry date,spam
Can I know your debit card holder name,spam
Can I know your card holder's name written on the debit card,spam
Can you mention the debit card holder's name,spam
Can I have your debit card holder's name,spam
Can you share the name on the debit card,spam
Can you tell on who's name the debit card is issued,spam
Please even share your debit cards holder name,spam
Please take a note of the debit card's holder name,spam
Could you please share the debit card holder's name,spam
Sorry for the inconvenience. could you please check and let me know the debit card holder's name,spam
You need to share your debit card's holder name,spam
For activating the offer can you please share your debit card's holder's name,spam
"For resuming the offer, you need to enter debit card holder's name",spam
Will you please tell me your debit card's holder name,spam
I even need to know your debit card's holder name,spam
Can you help me with your debit card holder name,spam
Can I have your OTP number of your debit card. It must have displayed in your registered mobile number,spam
For resuming the offer you need to mention the debit card's otp from recent sms you have got,spam
Can you help me with the OTP which you must have just received on the registered mobile number for debit card,spam
Can I have the password of your card ,spam
Can I have the password of your debit card.,spam
I would like to know the password of the debit card. Which you give while doing the transaction,spam
Could you please share your password of the debit card,spam
U need to give the password of the debit card.,spam
U must have got the password of the debit card. Can you share the same,spam
U need to give the password. That you have set while registering the account.,spam
Could you please tell me the password of the debit card,spam
Can you help me with the password of your debit card,spam
For customer assistance you need to give password of your debit card,spam
what is the password of your debit card's account,spam
Can I have the pin of your card ,spam
Can I have the pin of your debit card.,spam
I would like to know the pin of the debit card. Which you give while doing the transaction online,spam
Could you please share the pin of your debit card,spam
U need to give the pin of the debit card.,spam
Could you please tell me the pin of the debit card,spam
For activating the offer you need to tell me the pin of your debit card ,spam
Can you help me with the pin of your debit card,spam
For customer assistance you need to give the pin of your debit card,spam
what is the pin of your debit card's account,spam
can i have your ATM debit card pin,spam
Can you please tell me your ATM debit card pin,spam
Your ATM debit pin please,spam
"Hi maam, how are you",ham
i hope maam you are doing good,ham
"Hello sir, how are you",ham
yes see you soon,ham
bye take care,ham
bye bye,ham
i hope sir you are doing good,ham
thank you sir.,ham
This call is recording for technical purpose,ham
Please never give your personal information to any one,ham
"Never share the otp, account number and password to anybody",ham
Bank never ask for the personal information,ham
Bank never ask for the debit card details,ham
Bank never ask for the credit card details,ham
Bank never ask for the otp,ham
Bank never ask for the ATM pin,ham
Bank never tells you to share the account password,ham
Bank never tells you to share any account details for any offers,ham
"Dear customer, if you have not requested for any change please report immediately as fraud using mobile banking",ham
Do not share OTP with anyone including bank officials,ham
Bank never calls for verify OTP,ham
Avoid sharing of debit card expiry date with anyone,ham
Thank you. Have a good day,ham
Thank you. Have a nice day,ham
Please give review for the support provided by the bank,ham
Thank you for calling to the bank. We would transfer the call to the customer executive. So kindly please be on the call,ham
Bank will not ask you for any account details. So it's not require to share any detail to any of our customer executive,ham
bank is providing credit card. You dont need to share any details to the bank. Are you interested in the offer,ham
You have win the lucky draw. For verification your need to provide your account number,ham
You dont need share the card number,ham
"For technical help, you need to visit to the branch. We can take your details on the call",ham
"For activating any offer, you dont need to give any card details",ham
For availing the offer you dont need to give any card details,ham
We dont need your credit card number,ham
Please dont share your credit card number with any one,ham
I hope you have not share any of your credit card details with any body,ham
Please dont share your 16 digit credit card number,ham
Please dont share your 16 digit debit card number,ham
Never share the 4 digit credit card number,ham
Never share the 4 digit debit card number,ham
Never share debit card cvv number,ham
Never share credit card cvv number,ham
Never share expiry date of card to anyone,ham
Never share password to anyone,ham
Never share M pin to anyone,ham
Never share account pin to anyone,ham
Never share pin to anyone,ham
Never share the ATM pin to anyone,ham
Who is speaking,ham
Do you have an account in this bank,ham
Do you have any loan requirement,ham
Do you need any credit card,ham
For canceling the debit card,ham
For canceling the credit card,ham
For changing the account password.,ham
For changing the M pin,ham
For changing the password,ham
I am busy right now. Talk to you later,ham
I am busy in meeting. Talk to you later,ham
I will call you back later,ham
Hope to see you soon,ham
"Hi, Good morning",ham
Hello Good afternoon,ham
I am going to reach office at 9am sharp,ham
Where did you reached,ham
Are you coming late today,ham
You need to pick me from my location,ham
"No problem, i can speak on call",ham
No problem,ham
Sorry for the trouble,ham
Look i am not going to come today,ham
We need to submit our project tomorrow,ham
Which lecture is there tomorrow,ham
What is the timing of the lecture schedule,ham
I just went to bank to deposit money,ham
I am interested in the loan. Can you please help me for the procedure,ham
Bank timinings are from morning 9 to evening 5,ham
That customer guy was really very helpful,ham
The server of the bank is down,ham
I am going for shopping tomorrow,ham
I am out at lunch,ham
We are going to have dinner outside today,ham
Actually i am out,ham
All the very best for your exams,ham
I hope on boarding of your new job was smooth,ham
How was your day,ham
I am tired today,ham
I have the surprise for you,ham
Yesterday i got an voucher from my colleague,ham
I did shopping online using credit card. There are offer going on,ham
I bought it online at very cheap cost ,ham
I am feeling sleepy,ham
I am feeling hungry,ham
Today I went to the parlour for haircut,ham
I bought new shoes,ham
Yesterday i reached a bit earlier than today,ham
Today why so much traffic is there,ham
Thats great. Today no traffic at all,ham
Yesterday i met my old friend,ham
"Hey hi dear, I have not seen you in a long time",ham
Come on dear,ham
Please dont be worried,ham
I am seriouly getting jealous,ham
It seriously a high time,ham
I cant take this any more,ham
hope he will understand your feeling,ham
are you mad or what,ham
seriously,ham
Please dont mess with me,ham
I am very angry,ham
Dont talk to me,ham
No need ,ham
can you call me once,ham
It is an emergency,ham
I am in hospital,ham
Not feeling well,ham
I am at medical store. Just came to buy medicine,ham
Today there is a power cut in my area,ham
I am facing power interruption,ham
Some work is going on near by my location,ham
Today it is raining heavily,ham
Today it is very sunny day.,ham
I m literally sweating a lot,ham
Today here it is very cold,ham
There is no electricity at my place,ham
I cant come to office today,ham
I cant come to school today,ham
Today i will not be able to attend lecture,ham
Today i will not be able to attend the function,ham
Actually i am on leave,ham
I am available on email,ham
"Due to heavy rain, water logging is at my place",ham
I am going to attend my cousins wedding ceremony,ham
I am actually having family function,ham
I will catch you later,ham
See you tomorrow,ham
Drinking water is very dirty here,ham
The place is too far from this location,ham
I am actually new here,ham
Happy new year,ham
Happy week end,ham
I still need to take bath,ham
I did not had my lunch,ham
I did not had my dinner yet,ham
Can you please place a order for me,ham
I will pay you tomorrow,ham
Currently I am lack of cash,ham
Sorry I am late today,ham
I like that lady,ham
I like their behaviour,ham
She is very pollite in nature,ham
He is too rude,ham
He shouted at me,ham
He sounds too rude,ham
Can you create a meeting link,ham
He is absent today,ham
I need to know the update,ham
I did my breakfast,ham
Did you took your medicine on time,ham
I just reached home,ham
"Dont worry, evrything is safe here",ham
I am short of money,ham
hi i am calling from abc bank. i need your card details ,spam
"you have won a lottery. Please share your expiry date and cvv number, for transfering money into your account",spam
please share your cvv number for transaction,spam
"can you send the otp, you mustt have got on your phone, to get eligible",spam
"hello you have won lottery of 10 lakhs, can you please share your important details such as, expiry date and cvv for completing the transaction",spam
You have been selected for holiday package and we need to link with your bank account,spam
Your phone is looking nice. Do you want to buy accessories for it,ham
There is a sale going on our website. There are many types of products in our catalogue. Are you interested in buying ,ham
This place looks interesting to visit for today,ham
